,Movie_Titles,Director,Genre,IMDB_Ratings,Votes,Certificate,Gross,Years
262,Sarfarosh,John Mathew Matthan,Action,8.1,25606,A,79.78543749999999,1999
263,"Monsters, Inc.","Pete Docter, ",Animation,8.1,892689,U,289.92,2001
264,Lagaan: Once Upon a Time in India,Ashutosh Gowariker,Drama,8.1,112930,U,0.07,2001
265,Festen,Thomas Vinterberg,Drama            ,8.1,86532,R,1.65,1998
266,The Iron Giant,Brad Bird,Animation,8.1,189640,U,23.16,1999
267,The Big Lebowski,"Joel Coen, ",Comedy,8.1,796831,UA,17.5,1998
268,Fa Yeung Nin Wah,Kar-Wai Wong,Drama,8.1,146835,U,2.73,2000
269,Trainspotting,Danny Boyle,Drama            ,8.1,678686,A,16.5,1996
270,Fargo,"Joel Coen, ",Crime,8.1,669075,A,24.61,1996
271,Eskiya,Yavuz Turgul,Crime,8.1,69788, ,79.78543749999999,1996
272,Underground,Emir Kusturica,Comedy,8.1,58265, ,0.17,1995
273,La haine,Mathieu Kassovitz,Crime,8.1,170410,Not Rated,0.31,1995
274,Before Sunrise,Richard Linklater,Drama,8.1,302464,16,5.54,1995
275,Trois couleurs: Rouge,Krzysztof Kieslowski,Drama,8.1,102274,U,4.04,1994
276,In the Name of the Father,Jim Sheridan,Biography,8.1,173297,UA,25.01,1993
277,Groundhog Day,Harold Ramis,Comedy,8.1,620865,U,70.91,1993
278,Ba wang bie ji,Kaige Chen,Drama,8.1,28674,R,5.22,1993
279,Da hong deng long gao gao gua,Yimou Zhang,Drama,8.1,32519, ,2.6,1991
280,Dom za vesanje,Emir Kusturica,Comedy,8.1,30642, ,0.28,1988
281,Dead Poets Society,Peter Weir,Comedy,8.1,478845,U,95.86,1989
282,Tonari no Totoro,Hayao Miyazaki,Animation,8.1,331711,U,1.11,1988
283,Stand by Me,Rob Reiner,Adventure,8.1,397289,U,52.29,1986
284,Platoon,Oliver Stone,Drama,8.1,409790,UA,138.53,1986
285,Jean de Florette,Claude Berri,Comedy,8.1,25811,U,4.94,1986
286,The Terminator,James Cameron,Action,8.1,850062,UA,38.4,1984
287,"Paris, Texas",Wim Wenders,Drama            ,8.1,104790,U,2.18,1984
288,Gandhi,Richard Attenborough,Biography,8.1,229712,U,52.77,1982
289,Fanny och Alexander,Ingmar Bergman,Drama            ,8.1,63519,A,4.97,1982
290,Blade Runner,Ridley Scott,Action,8.1,756209,UA,32.87,1982
291,Stalker,Andrei Tarkovsky,Drama,8.1,132596,U,0.23,1979
292,Höstsonaten,Ingmar Bergman,Drama,8.1,34081,U,79.78543749999999,1978
293,The Deer Hunter,Michael Cimino,Drama,8.1,335992,A,48.98,1978
294,Rocky,John G. Avildsen,Drama,8.1,565664,U,117.24,1976
295,Network,Sidney Lumet,Drama            ,8.1,158241,UA,79.78543749999999,1976
296,The Message,Moustapha Akkad,Biography,8.1,47407, ,79.78543749999999,1976
297,Sholay,Ramesh Sippy,Action,8.1,55384,U,79.78543749999999,1975
298,Jaws,Steven Spielberg,Adventure,8.1,591538,A,260.0,1975
299,Barry Lyndon,Stanley Kubrick,Adventure,8.1,165537,U,79.78543749999999,1975
